#   Area   : 2.13000e-01
#   Time   areaAverage(T)
0.999427 3.031475e+02
2.00049 3.031485e+02
3.00031 3.031480e+02
3.99973 3.031469e+02
4.99982 3.031450e+02
6.00096 3.031425e+02
7.00036 3.031393e+02
8.00025 3.031345e+02
8.99988 3.031276e+02
10.001085 3.031167e+02
11.000692 3.030980e+02
12.00119 3.030742e+02
12.999644 3.030541e+02
14.001532 3.030424e+02
15.00188072 3.030395e+02
15.9998521 3.030402e+02
17.0001205 3.030425e+02
18.00184366 3.030448e+02
19.00135292 3.030477e+02
20.0005918367 3.030538e+02
20.9995397477 3.030627e+02
21.9999156912 3.030717e+02
23.0012895724 3.030795e+02
24.0003674065 3.030862e+02
24.999948250121 3.030920e+02
26.00012718715 3.030971e+02
27.001466255274 3.031014e+02
28.001372738785 3.031051e+02
28.999803564599 3.031084e+02
29.99944846361592 3.031115e+02
30.99971416792314 3.031150e+02
32.00002912117819 3.031193e+02
33.00002149424799 3.031259e+02
33.99970206366805 3.031376e+02
34.9994888382346261 3.031543e+02
35.9999994558824383 3.031769e+02
37.0018773517030652 3.032042e+02
37.9993327402738146 3.032337e+02
39.0009885870554669 3.032634e+02
40.0002845332203236 3.032912e+02
40.9996805758456162 3.033174e+02
42.0019339552180782 3.033419e+02
43.0010232609226932 3.033644e+02
44.0005018845220803 3.033856e+02
45.0012162640623004 3.034059e+02
46.0009897343283143 3.034262e+02
47.0001790180785832 3.034472e+02
48.0019790073555228 3.034699e+02
49.0000584196574067 3.034948e+02
49.99984640599709 3.035221e+02
51.0010593187341854 3.035510e+02
52.0004180581424436 3.035603e+02
53.0008190993681012 3.035251e+02
54.0021485675883568 3.034797e+02
55.0012784264610133 3.034308e+02
56.0011429314178599 3.033796e+02
57.0014168342299001 3.033264e+02
58.0016594690532585 3.032715e+02
59.0014252797878527 3.032151e+02
60.0003136205778702 3.031575e+02
61.001080701931528 3.030987e+02
62.0005213957178398 3.030390e+02
63.0017127486690711 3.029784e+02
64.0016381064634032 3.029172e+02
65.0003564232315227 3.028554e+02
66.0009652294406806 3.027931e+02
67.000476202615431 3.027305e+02
68.0021661056567268 3.026673e+02
69.0001959701988312 3.026041e+02
70.0010694597687575 3.025402e+02
71.0021316117222483 3.024759e+02
72.0007430364561145 3.024113e+02
73.0000455564489101 3.023462e+02
73.999146034110737 3.022809e+02
75.0001908883456707 3.022154e+02
76.0000436667727399 3.021499e+02
77.0021181459045749 3.020841e+02
78.0004897354505715 3.020184e+02
79.0011776452807766 3.019521e+02
80.0009982307494028 3.018856e+02
80.9996232330824171 3.018191e+02
81.9996276593333704 3.017525e+02
83.0009750325997544 3.016856e+02
84.0008352671088261 3.016185e+02
84.9992419303420519 3.015513e+02
85.9993964425957387 3.014834e+02
87.0014720423878032 3.014149e+02
87.9997298245688313 3.013461e+02
89.0003484943188425 3.012766e+02
90.0005423987294648 3.012068e+02
91.0004968721107588 3.011370e+02
92.000382664378634 3.010669e+02
93.000356927783514 3.009962e+02
94.0005807605929675 3.009246e+02
95.0011367318341229 3.008521e+02
96.0020523391495288 3.007793e+02
97.0004307343019576 3.007067e+02
97.999275122197929 3.006340e+02
99.0016598410722963 3.005615e+02
100.001521898879105 3.004893e+02
101.001842775653387 3.004163e+02
101.999523135465012 3.003430e+02
103.000503029726275 3.002693e+02
104.001679862132022 3.001954e+02
104.999857805894763 3.001214e+02
106.000872202795492 3.000464e+02
107.001486509367609 2.999705e+02
108.001479109868015 2.998941e+02
109.00067142973127 2.998169e+02
110.001967679187075 2.997389e+02
110.999338175346836 2.996605e+02
112.001879635745823 2.995815e+02
113.000755950322343 2.995023e+02
113.999196023840923 2.994226e+02
115.000607289495932 2.993423e+02
115.999497210627723 2.992617e+02
116.999360063478619 2.991803e+02
118.000766359280746 2.990983e+02
119.001496268604072 2.990160e+02
120.001990101047951 2.989336e+02
121.00182644090529 2.988514e+02
122.000854046904507 2.987694e+02
123.002065354488749 2.986883e+02
123.999340369654362 2.986095e+02
125.001847912576096 2.985320e+02
126.000435933482393 2.984558e+02
127.001187616790503 2.983799e+02
128.000847357581421 2.983045e+02
128.999279135768262 2.982290e+02
129.999440836993756 2.981528e+02
131.001162907742156 2.980755e+02
132.001278854907838 2.979970e+02
132.999635926991147 2.979169e+02
133.999253825556877 2.978350e+02
134.999984368913829 2.977514e+02
136.001610245680666 2.976655e+02
137.000865838881339 2.975768e+02
138.000605996394995 2.974863e+02
139.000687921125973 2.973960e+02
140.001062049305432 2.973070e+02
141.001772434786687 2.972180e+02
141.999684819475334 2.971270e+02
143.00076951814313 2.970327e+02
144.001582419281874 2.969372e+02
145.001922884608661 2.968439e+02
146.001806960798064 2.967545e+02
147.001317076955985 2.966680e+02
148.000446299306844 2.965821e+02
148.999235558215958 2.964944e+02
150.00104183283716 2.964044e+02
150.99991264813724 2.963131e+02
152.002127601530503 2.962206e+02
153.001628798881228 2.961262e+02
154.001746590970328 2.960300e+02
154.999709747561894 2.959319e+02
156.002006771375591 2.958302e+02
156.999195067494696 2.957267e+02
158.000311629687843 2.956243e+02
159.001926903793134 2.955288e+02
160.000758197588766 2.954427e+02
160.999836910799814 2.953639e+02
162.002011478213745 2.952887e+02
163.000698182442534 2.952141e+02
164.00196140524497 2.951379e+02
164.999270966020049 2.950612e+02
166.001633598095708 2.949873e+02
166.999512380859159 2.949202e+02
167.999323773974766 2.948571e+02
169.001498915793974 2.947948e+02
170.000435541774351 2.947317e+02
170.999948073721612 2.946680e+02
172.000766273232841 2.946056e+02
173.000089408640974 2.945452e+02
174.00119358036622 2.944870e+02
175.000836804712264 2.944280e+02
176.001646996434062 2.943643e+02
177.000399718168978 2.942950e+02
178.000167452474699 2.942221e+02
179.000712041583455 2.941494e+02
180.002009763952515 2.940809e+02
181.001096368904427 2.940174e+02
182.001145276918692 2.939596e+02
183.001579431880856 2.939077e+02
184.002070558137973 2.938601e+02
185.001907401764868 2.938122e+02
186.000736843983162 2.937985e+02
187.001861414754302 2.938045e+02
187.999140361200887 2.938098e+02
189.002108023991468 2.938123e+02
190.001167849139222 2.938138e+02
