8888 3
9874569/2222 3363/1189
97507152434033/43882584636 26552767652/9387821033
9507660181243622282042665057/8557731738603613058633976 6369051672525773/2251799813685248
90396188000185587730365372033916908187415808608221361857/162728010585772653111146855376234594574811589856353264 6369051672525773/2251799813685248
8171682648208330473422433593536005683005184470154791393744660317382154201932643087598907977429965482421842118017/29419983675615390396091003630777728492490734072114813595118125820019937878226065312577863915231642467534102496 6369051672525773/2251799813685248
66783321586544900741926364142030166868304587341759157212199093964116399758216492189876792167248097756558443791026272420725101551489797583684294036316070088869272441586576234292228680267847273097884586209382501806990423452417/480821540225197251097407847343378986199108784146407465318428989427834967402348171337115539693208344090506018018673476357297507071364030795469116142971991390569764679039348215741282282597968431651785057624626056179612540864 6369051672525773/2251799813685248
4461861556960230366182962123790329413821572938590095010965303231860440195545247171883926233434566245475363019889099386347453527823954326249858533557299719600826753736289492982374221625315884631839540714663441293265748809368066152631523279253852601393603346782928558859733604025115708624558019855329361557158078818988856935755204745893132931631862017193386236402546541861847013034788075274493821929663706553883088350976715954149845502130586022073857/64221719093194365788648533605414706841563901997489165073063629480258292202142407726178743952028410338173652622419646953158780133693182931575365478844732294002939352133450777360990351094276811546824798254770014879471681836631904962459290615342420907269113312295434115677606677034100922679764277840433960637359225902091389823972825989400350310167385942878393624820731794257705610830953388014644957243136452593196415432996059273511301111824744136576 6369051672525773/2251799813685248
19941203987105852374495634991585724559065385789690923553674925384685528517335807101212809876805399430959845865253373978931773634899672391908225648249282715886074040751575608482950433170251765579064904880347246108644764188021778061330547863277183888281367027112332440449436443526640451498061464251844506085989626102106040143198645731340168713734258509598554042849198666086587824760196008240490100201344718570868717181774657643019199088104576173864699729876795055880875735455978231033025529763645596950890476810795437227926504181449948252020925497183876195622415086891375218270450204799066033398036288689572683405634223535079466136029277497226498907280025153138924793887886760166254841763691405957387302753781040175305816807710896412262372173427972678274652555338434077402066909275660468192624654769985035838763723548414167165080402553388917329183979004961137343370416718263637979203375593090886657/573096839087645533579859738757805207169085095333685654837693685240204498514368360393788984115221818384812831299883104136346554927233157017536774371883528160712552889404900165149324994636951052454407009971075179304055154982621275248901325129820996479955381951102062847416663148269715591168889549458377853800210210719603119464765283792929414600671261164599499117735622371295560122404313290781825727807219107208666086447129970776177085646227554656759046274738813577356195201251678873733697190802984180565307551145463586905381715681786899482089864545494326460491273535123681424928397999254209822864232034435343547631031783526731754038489916441020458896873015800553174631999068896674544777359342194874626779150678294166960296482250043876604349059814757348620332542974843812052171371127072730575393036848647191035342700002911885969351157571316744923418735154733868750223577343763890662649336734187264 6369051672525773/2251799813685248
400279136351144349173677581383777697997766349153476407752803171658042461908660978618787886477255811566681200528498007821156466464685167258022967595570603095871557369382073219861173253696780085970136557633857375336930381243204457938206337740984827422460815026800745087780243677743317672658618121177086589110564250546929542221781347943903809277603942108805186327893344709939088036632788233023393695161185474732545093341671425889218603157098759414394147435824894405185153544784866199913348957408162536272748508739409659067262758090602776704834984683424307507489550333209754384942043901402035487322980128661146421830304026352239165384561966807672718879820497285459542942672101872220344528181846978554561970039291069659633812988151815730054720135218351008491356225670987978367223750091174706252619299370896980263744820167554869851316217746278736070668996234470429038771842959907351564913924504978634690443737923947197001695118625675406352961620518692735313699060437950067466631461416434718817741264696643225566584756437321074662501798274522030568597113720566091237106989193017738976461631930260172842716563331002755210114226802260765755202215213567524022620731443511988296593745770837277008275517069748538714495275233812324513630273281912736995251655527838989335673118882162724271395272606151857621317737507825620778094120296821625460711407173847767241307557500867269150520992424215306785827334321885965442312483471572638849132863178722921308243841244272689422205769340379999992019648213988483097120326415234805176657581654060993384765269893077705712903471183744444057243358589222752276702404540053984673793386306668787364274381363307722648248912248129488555636356198477369158503416849923043373489644562673512726230731469174802438155335845518986590484084244959028272680575780090674940359379081217/22856481945224636435797623052473718064254951379433529944463462901577689936575528787983188788198355464441018379635296779685232494493100657611496973869452237812028307458043119371094729983328591880127679503791665969967623876148367582189126872473173870455785436641286541174452913133578445642685823259422852579206568460129028719414989076819400353056808397097635208807138730706896034810681612387046947025702822235378099502317151255375656808095106943908209671857715519436488724627282508415204401244056383729975236733641855439522272942958098393881021114136773619179056592530392642845195424502607949403249388790643544125532699106134779378875159975979897254921963691112702907849760521226523046781710124191614317743293952017390878740692001807097531771172173502038727601949481349601350777302592944868549840651076467275018654728093002644142134846803974473067793992555524309393900767955927724354760446984938626879532435730627090107872957913705542490491970119994179924453425945037865923088320111990863866155182746577804166735104021359628559830293160938371942618995953681510523061003480972265465047887540874962732820914204038802549927953477941396563438196971712682852256787410250279195141400853906807407762050517666457095221097098438352840587541354188781413302405211884169687724362287718379982855419894142183302023075840355046199336461920748087806410231841902705385821074226227438887822005550439685751644412028128914440700782707215991528173042225044905804589516212344784916499509458967410735994307265716534286051227597367727224098997357490197609213900526847848343282328404723690475624017984623066798930558764676830104518200298103864080121757715981767556238153430575410709191328038691524896922294264564310767040090638760438831207759330809168291549654218936973282102171627426860508235026374336170260073872896 6369051672525773/2251799813685248
164402737133317047762770670454132850342547280642542092054046882863307869818772798948230933215424592199250546084785081668323505614224169542597840122440670898942104918500878326231135621408999846036550874408946593096672881968841579570928401955842234095692626076384389713993074607944519831907943852945536941343173547102549895497602572768201918413346652399529661978375778500038164806722274375402009062975696415680806420276629286679243867168730469716532994884744530662497755321734100216566550516658746231072521326308617599899587471898550512501979018949913563737813931519278449908827319490072789690205810430568424749683583765926191992878587717364001159193595219451008079770803915449041231244296804383753525902879567759439883277755787786061049350008195555608861699826269002166525496004288056157521219512956317185995080443097107982027719205290433357985990244014578911529925142502002118089186274701215623114072154789249257058286574008090209513714536113334158954620456009093268236856411233097453518018740946966636785827364210823611378455004287845761567175597810314094492556777915727139803481215650562969789001155919492421654928718126242762026610783539611403261207657917406951660216706119665982092469606513099746811503760935342757815472758636351976789690340051033879602366861905879255026175274914146153009210565648943798668829174548085106621630010233206802163559717251357003808747412463685485554291515775495590253329957700519718265401731844979369517622159221483463792132429546289277767121131954560542793265337437284047673596648962708363596312140166995153523883487596336953305301844918801104629789997644128264715806089138453076402691967036376554773214106928902143351496785330897441201446332648068771189183116277361707563640606589217309769307187155405303119767574302750121888860699265950372352396123306173374634748688509110979290588950226783858351466917107783358245677144469354235372835727272955240148557678744832852028423213442138825202768539398442539980672518742794643407424321830328674576850252580812513766292770309723910560242737233495710763330090137883511226431917867354597871348437214411635029563397651473819667475429134056956686257129073536530487765631424501415984556216815263788441709992092904679159343853972576229514031957029324752765165376686888472598163849037679783796794418700103517512297792527709712908172736321361926732120085363483423863846440591511443943918543465200915639369073106358633856611345055620367853356162559357477703299829221040237425280614883704642012254900159768417515899611659235757612459856701935169742489366376755875843558615781481524637322154988928430658916360004384633979761672350771724447068403912544321832213770421281876261830569842528809628210971749988079123873383659174909877060044888631987760969962635139605429871768002233703632791235814140659464960315912181772777482039464345474081830423357799687037246769827804442383498077086425397704053312479855604910951073240908264576818473821653700827735085543164388854557235757832245143133272259226605787660257914053877152481249171992382279165281874356110521919687493290103437498737308642334521356832479842898534748556950162509700560404280465926055389768054063086237902262822851584275248545273518608066590605204965303578200317230159436593360447895283470149717711106568531606350101008754101207397106296502408776190396658008683337948761357888908140958034427184604183248597617070306238696597885242718719101222461865872139710176257866852482764639012399783761507768376283524338492320846156361819954433915067390828443357326176565372054374942601306854438642951558946037890266998308096134019952618403407130761056001373189615617/18297945706120082550982018298992593110030907264878624769208250669628448428996132091592721369060475745285168460820762611624569177337168718807359164672313771718645289871801719695516778205758883765941105305296551321432468102193519170971587243443024603680233511913508176135690817642214823243362500504369977869079289419033085865283687418941453962392523513318268057520588535798191083292245952607436668958076203099962665439849571958944432085097953040861225996486775378657140361925315844160269606195081919743495997981310971456111940024635842968160229221255303450888989603796528297375012466479586024285865081361471927074893191152508457190514232450300246020697550467913396865249806712910910728716018349736491789361621344984203466549223599622618337877197095566884975100239576624645097616896379246613504188145395455850078468507647598991393520554250488520666893616887255977665321011697488623216867971987026067470671896675155150441465286540786654298592289736536715760157457262107563106304424620100854343631572147594840659233876984698542384666346130736378060565711094827916436735669923199928020601277243000526819689588741293385221396405708299140373686025778237789128019399146203713975665363852127529835926226702643010187989152670510774670876346458271295622346145149267432014462722535144580091899339762374317521347670008388264486363573545428922724395938275220479192270009001393096899440083988659100576717608747579068446455675700717205822998989796758672746880793751521331690646936562375554247838507385311193944299229384195837861201753297816291150725615372684072810940118635183662806098265490298659737016462292428622018440929413985814767899615496856207107510477176566387900919556785387258165831051599650657785204246570408358807030070853886133679632279114786025185444863059781844382103490424667998253686615401975579415542530714180225368432553891033016407142537298809413465974935017257894470510877341615951928692027338111789369122924923595637562338571606975499776456354301877263432173758905037176634499047253956751056132184058491118240283647280508042538467182767694505132209875596940827000005420254040996451057033077682994148085436866844937441990679441427369883747576203037468651624804417471344984755811038404057171147044865392558226494568060028404114300218317100396708267591464197897974524969653568560872626833981813056219151452848198597582124624016035989147813450119065061817550423644783568578273061571376810210145407707221726174365184359179415947010332804984881880304325067054518185207266895077335918752832421477717335467869575667909042364403344713200672930791347698452833118246181255525343278359452576552305669233842957893357957098051660185451559662704002755016421460036902257314505022196407728064101563635375899132459094379658182176865428830540774061945477941971823679895595721951646386812419680298580123928641099150042282739178502892742678040605352129394264100221325784371712172889343694044518579632605804312786170813135030691714054847539587470367056558692646706231151555426640586394328007527115205594033598775711062533957612776792051018960154201513383568734785887445551849306425884422634589400376893539224665479705345304391887253442507001036272054323630759368977274920966331898194420445634943674888709895245320713489152074716709382303990128813945283063575367130196256024767984033075774097989453265107288995671850251515907480856752845029610421610907633080199323779710889541127988301938438951580499473696041163348475319738977549698832026434285022822009610582250125022617328217943640005618043333378716639286401754738943778877845718995828696656578230841579772937539669369474553536509239822637988864 6369051672525773/2251799813685248
