3 500
move 0 -1
move 0 -1
move 0 -1
move 0 -1
move 0 -1
move 0 -1
move 0 -1
move 0 -1
move 0 -1
move 0 -1
move 0 -1
move 0 -1
move 0 -1
move 0 -1
move 0 -1
move 0 -1
move 0 -1
move 0 -1
move 0 -1
move 0 -1
move 0 -1
move 0 -1
move 0 -1
move 0 -1
move 0 -1
move 0 -1
move 0 -1
move 0 -1
move 0 -1
move 0 -1
move 0 -1
move 0 -1
move 0 -1
move 0 -1
move 0 -1
move 0 -1
move 0 -1
move 0 -1
move 0 -1
move 0 -1
move 0 -1
move 0 -1
move 0 -1
move 0 -1
move 0 -1
move 0 -1
move 0 -1
move 0 -1
move 0 -1
move 0 -1
move 0 -1
move 0 -1
move 0 -1
move 0 -1
move 0 -1
move 0 -1
move 0 -1
move 0 -1
move 0 -1
move 0 -1
move 0 -1
move 0 -1
move 0 -1
move 0 -1
move 0 -1
move 0 -1
move 0 -1
move 0 -1
