31 13
move 1 13
move 1 2
move 2 3
move 3 4
move 4 5
move 5 6
move 6 7
move 7 8
move 8 9
move 9 10
move 10 11
move 11 12
move 13 12
move 12 13
move 12 1
move 13 1
move 1 13
move 1 2
move 2 3
move 3 4
move 4 5
move 5 6
move 6 7
move 7 8
move 8 9
move 9 10
move 10 11
move 11 12
move 13 12
move 12 13
move 12 1
move 13 1
move 1 13
move 1 2
move 2 3
move 3 4
move 4 5
move 5 6
move 6 7
move 7 8
move 8 9
move 9 10
move 10 11
move 11 12
move 13 12
move 12 13
move 12 1
move 13 1
move 1 13
move 1 2
move 2 3
move 3 4
move 4 5
move 5 6
move 6 7
move 7 8
move 8 9
move 9 10
move 10 11
move 11 12
move 13 12
move 12 13
move 12 1
move 13 1
move 1 13
move 1 2
move 2 3
move 3 4
move 4 5
move 5 6
move 6 7
move 7 8
move 8 9
move 9 10
move 10 11
move 11 12
move 13 12
move 12 13
move 12 1
move 13 1
move 1 13
move 1 2
move 2 3
move 3 4
move 4 5
move 5 6
move 6 7
move 7 8
move 8 9
move 9 10
move 10 11
move 11 12
move 13 12
move 12 13
move 12 1
move 13 1
move 1 13
move 1 2
move 2 3
move 3 4
move 4 5
move 5 6
move 6 7
move 7 8
move 8 9
move 9 10
move 10 11
move 11 12
move 13 12
move 12 13
move 12 1
move 13 1
move 1 13
move 1 2
move 2 3
move 3 4
move 4 5
move 5 6
move 6 7
move 7 8
move 8 9
move 9 10
move 10 11
move 11 12
move 13 12
move 12 13
move 12 1
move 13 1
move 1 13
move 1 2
move 2 3
move 3 4
move 4 5
move 5 6
move 6 7
move 7 8
move 8 9
move 9 10
move 10 11
move 11 12
move 13 12
move 12 13
move 12 1
move 13 1
move 1 13
move 1 2
move 2 3
move 3 4
move 4 5
move 5 6
move 6 7
move 7 8
move 8 9
move 9 10
move 10 11
move 11 12
move 13 12
move 12 13
move 12 1
move 13 1
move 1 13
move 1 2
move 2 3
move 3 4
move 4 5
move 5 6
move 6 7
move 7 8
move 8 9
move 9 10
move 10 11
move 11 12
move 13 12
move 12 13
move 12 1
move 13 1
move 1 13
move 1 2
move 2 3
move 3 4
move 4 5
move 5 6
move 6 7
move 7 8
move 8 9
move 9 10
move 10 11
move 11 12
move 13 12
move 12 13
move 12 1
move 13 1
move 1 13
move 1 2
move 2 3
move 3 4
move 4 5
move 5 6
move 6 7
move 7 8
move 8 9
move 9 10
move 10 11
move 11 12
move 13 12
move 12 13
move 12 1
move 13 1
move 1 13
move 1 2
move 2 3
move 3 4
move 4 5
move 5 6
move 6 7
move 7 8
move 8 9
move 9 10
move 10 11
move 11 12
move 13 12
move 12 13
move 12 1
move 13 1
move 1 13
move 1 2
move 2 3
move 3 4
move 4 5
move 5 6
move 6 7
move 7 8
move 8 9
move 9 10
move 10 11
move 11 12
move 13 12
move 12 13
move 12 1
move 13 1
move 1 13
move 1 2
move 2 3
move 3 4
move 4 5
move 5 6
move 6 7
move 7 8
move 8 9
move 9 10
move 10 11
move 11 12
move 13 12
move 12 13
move 12 1
move 13 1
move 1 13
move 1 2
move 2 3
move 3 4
move 4 5
move 5 6
move 6 7
move 7 8
move 8 9
move 9 10
move 10 11
move 11 12
move 13 12
move 12 13
move 12 1
move 13 1
move 1 13
move 1 2
move 2 3
move 3 4
move 4 5
move 5 6
move 6 7
move 7 8
move 8 9
move 9 10
move 10 11
move 11 12
move 13 12
move 12 13
move 12 1
move 13 1
move 1 13
move 1 2
move 2 3
move 3 4
move 4 5
move 5 6
move 6 7
move 7 8
move 8 9
move 9 10
move 10 11
move 11 12
move 13 12
move 12 13
move 12 1
move 13 1
move 1 13
move 1 2
move 2 3
move 3 4
move 4 5
move 5 6
move 6 7
move 7 8
move 8 9
move 9 10
move 10 11
move 11 12
move 13 12
move 12 13
move 12 1
move 13 1
move 1 13
move 1 2
move 2 3
move 3 4
move 4 5
move 5 6
move 6 7
move 7 8
move 8 9
move 9 10
move 10 11
move 11 12
move 13 12
move 12 13
move 12 1
move 13 1
move 1 13
move 1 2
move 2 3
move 3 4
move 4 5
move 5 6
move 6 7
move 7 8
move 8 9
move 9 10
move 10 11
move 11 12
move 13 12
move 12 13
move 12 1
move 13 1
move 1 13
move 1 2
move 2 3
move 3 4
move 4 5
move 5 6
move 6 7
move 7 8
move 8 9
move 9 10
move 10 11
move 11 12
move 13 12
move 12 13
move 12 1
move 13 1
move 1 13
move 1 2
move 2 3
move 3 4
move 4 5
move 5 6
move 6 7
move 7 8
move 8 9
move 9 10
move 10 11
move 11 12
move 13 12
move 12 13
move 12 1
move 13 1
move 1 13
move 1 2
move 2 3
move 3 4
move 4 5
move 5 6
move 6 7
move 7 8
move 8 9
move 9 10
move 10 11
move 11 12
move 13 12
move 12 13
move 12 1
move 13 1
move 1 13
move 1 2
move 2 3
move 3 4
move 4 5
move 5 6
move 6 7
move 7 8
move 8 9
move 9 10
move 10 11
move 11 12
move 13 12
move 12 13
move 12 1
move 13 1
move 1 13
move 1 2
move 2 3
move 3 4
move 4 5
move 5 6
move 6 7
move 7 8
move 8 9
move 9 10
move 10 11
move 11 12
move 13 12
move 12 13
move 12 1
move 13 1
move 1 13
move 1 2
move 2 3
move 3 4
move 4 5
move 5 6
move 6 7
move 7 8
move 8 9
move 9 10
move 10 11
move 11 12
move 13 12
move 12 13
move 12 1
move 13 1
move 1 13
move 1 2
move 2 3
move 3 4
move 4 5
move 5 6
move 6 7
move 7 8
move 8 9
move 9 10
move 10 11
move 11 12
move 13 12
move 12 13
move 12 1
move 13 1
move 1 13
move 1 2
move 2 3
move 3 4
move 4 5
move 5 6
move 6 7
move 7 8
move 8 9
move 9 10
move 10 11
move 11 12
move 13 12
move 12 13
move 12 1
move 13 1
move 1 13
move 1 2
move 2 3
move 3 4
move 4 5
move 5 6
move 6 7
move 7 8
move 8 9
move 9 10
move 10 11
move 11 12
move 13 12
move 12 13
move 12 1
move 13 1
move 1 13
move 1 2
move 2 3
move 3 4
move 4 5
move 5 6
move 6 7
move 7 8
move 8 9
move 9 10
move 10 11
move 11 12
move 13 12
move 12 13
move 12 1
move 13 1
move 1 13
move 1 2
move 2 3
move 3 4
move 4 5
move 5 6
move 6 7
move 7 8
move 8 9
move 9 10
move 10 11
move 11 12
move 13 12
move 12 13
move 12 1
move 13 1
move 1 13
move 1 2
move 2 3
move 3 4
move 4 5
move 5 6
move 6 7
move 7 8
move 8 9
move 9 10
move 10 11
move 11 12
move 13 12
move 12 13
move 12 1
move 13 1
move 1 13
move 1 2
move 2 3
move 3 4
move 4 5
move 5 6
move 6 7
move 7 8
move 8 9
move 9 10
move 10 11
move 11 12
move 13 12
move 12 13
move 12 1
move 13 1
move 1 13
move 1 2
move 2 3
move 3 4
move 4 5
move 5 6
move 6 7
move 7 8
move 8 9
move 9 10
move 10 11
move 11 12
move 13 12
move 12 13
move 12 1
move 13 1
move 1 13
move 1 2
move 2 3
move 3 4
move 4 5
move 5 6
move 6 7
move 7 8
move 8 9
move 9 10
move 10 11
move 11 12
move 13 12
move 12 13
move 12 1
move 13 1
move 1 13
move 1 2
move 2 3
move 3 4
move 4 5
move 5 6
move 6 7
move 7 8
move 8 9
move 9 10
move 10 11
move 11 12
move 13 12
move 12 13
move 12 1
move 13 1
move 1 13
move 1 2
move 2 3
move 3 4
move 4 5
move 5 6
move 6 7
move 7 8
move 8 9
move 9 10
move 10 11
move 11 12
move 13 12
move 12 13
move 12 1
move 13 1
move 1 13
move 1 2
move 2 3
move 3 4
move 4 5
move 5 6
move 6 7
move 7 8
move 8 9
move 9 10
move 10 11
move 11 12
move 13 12
move 12 13
move 12 1
move 13 1
move 1 13
move 1 2
move 2 3
move 3 4
move 4 5
move 5 6
move 6 7
move 7 8
move 8 9
move 9 10
move 10 11
move 11 12
move 13 12
move 12 13
move 12 1
move 13 1
move 1 13
move 1 2
move 2 3
move 3 4
move 4 5
move 5 6
move 6 7
move 7 8
move 8 9
move 9 10
move 10 11
move 11 12
move 13 12
move 12 13
move 12 1
move 13 1
move 1 13
move 1 2
move 2 3
move 3 4
move 4 5
move 5 6
move 6 7
move 7 8
move 8 9
move 9 10
move 10 11
move 11 12
move 13 12
move 12 13
move 12 1
move 13 1
move 1 13
move 1 2
move 2 3
move 3 4
move 4 5
move 5 6
move 6 7
move 7 8
move 8 9
move 9 10
move 10 11
move 11 12
move 13 12
move 12 13
move 12 1
move 13 1
move 1 13
move 1 2
move 2 3
move 3 4
move 4 5
move 5 6
move 6 7
move 7 8
move 8 9
move 9 10
move 10 11
move 11 12
move 13 12
move 12 13
move 12 1
move 13 1
move 1 13
move 1 2
move 2 3
move 3 4
move 4 5
move 5 6
move 6 7
move 7 8
move 8 9
move 9 10
move 10 11
move 11 12
move 13 12
move 12 13
move 12 1
move 13 1
move 1 13
move 1 2
move 2 3
move 3 4
move 4 5
move 5 6
move 6 7
move 7 8
move 8 9
move 9 10
move 10 11
move 11 12
move 13 12
move 12 13
move 12 1
move 13 1
move 1 13
move 1 2
move 2 3
move 3 4
move 4 5
move 5 6
move 6 7
move 7 8
move 8 9
move 9 10
move 10 11
move 11 12
move 13 12
move 12 13
move 12 1
move 13 1
move 1 13
move 1 2
move 2 3
move 3 4
move 4 5
move 5 6
move 6 7
move 7 8
move 8 9
move 9 10
move 10 11
move 11 12
move 13 12
move 12 13
move 12 1
move 13 1
move 1 13
move 1 2
move 2 3
move 3 4
move 4 5
move 5 6
move 6 7
move 7 8
move 8 9
move 9 10
move 10 11
move 11 12
move 13 12
move 12 13
move 12 1
move 13 1
move 1 13
move 1 2
move 2 3
move 3 4
move 4 5
move 5 6
move 6 7
move 7 8
move 8 9
move 9 10
move 10 11
move 11 12
move 13 12
move 12 13
move 12 1
move 13 1
move 1 13
move 1 2
move 2 3
move 3 4
move 4 5
move 5 6
move 6 7
move 7 8
move 8 9
move 9 10
move 10 11
move 11 12
move 13 12
move 12 13
move 12 1
move 13 1
move 1 13
move 1 2
move 2 3
move 3 4
move 4 5
move 5 6
move 6 7
move 7 8
move 8 9
move 9 10
move 10 11
move 11 12
move 13 12
move 12 13
move 12 1
move 13 1
move 1 13
move 1 2
move 2 3
move 3 4
move 4 5
move 5 6
move 6 7
move 7 8
move 8 9
move 9 10
move 10 11
move 11 12
move 13 12
move 12 13
move 12 1
move 13 1
move 1 13
move 1 2
move 2 3
move 3 4
move 4 5
move 5 6
move 6 7
move 7 8
move 8 9
