기간	자치구	초·중·고 학생수	사설학원수	학생1만명당 사설학원수
2019	종로구	17,363	259	149.2
2019	중구	14,115	118	83.6
2019	용산구	16,852	155	92
2019	성동구	22,045	293	132.9
2019	광진구	29,965	406	135.5
2019	동대문구	27,509	368	133.8
2019	중랑구	28,596	276	96.5
2019	성북구	39,384	450	114.3
2019	강북구	22,134	209	94.4
2019	도봉구	29,268	317	108.3
2019	노원구	63,924	740	115.8
2019	은평구	45,177	525	116.2
2019	서대문구	24,562	346	140.9
2019	마포구	28,825	683	237
2019	양천구	53,162	1,037	195.1
2019	강서구	53,845	693	128.7
2019	구로구	36,200	406	112.2
2019	금천구	17,293	224	129.5
2019	영등포구	25,992	446	171.6
2019	동작구	30,176	465	154.1
2019	관악구	32,199	443	137.6
2019	서초구	44,671	1,119	250.5
2019	강남구	58,914	2,279	386.8
2019	송파구	63,999	1,115	174.2
2019	강동구	40,225	672	167.1
